num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
60855608000120,CPFL Sul Paulista,Companhia Sul Paulista de Energia,companhia sul paulista de energia,SP,Sudeste,curadoria_manual_validada,Agente histórico CPFL Sul Paulista; UF definida pela área estadual em São Paulo antes da incorporação.
04172213000151,CPFL- PIRATININGA,COMPANHIA PIRATININGA DE FORÇA E LUZ,companhia piratininga de forca e luz,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CPFL Piratininga.
33050196000188,CPFL-PAULISTA,COMPANHIA PAULISTA DE FORCA E LUZ,companhia paulista de forca e luz,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CPFL Paulista.
33050196000188,CPFL-PAULISTA,COMPANHIA PAULISTA DE FORÇA E LUZ,companhia paulista de forca e luz,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CPFL Paulista.
04172213000151,CPFL-PIRATINING,COMPANHIA PIRATININGA DE FORCA E LUZ,companhia piratininga de forca e luz,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CPFL Piratininga.
91950261000128,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUICAO DE ENERGIA,creluz - cooperativa de distribuicao de energia,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Creluz-D.
91950261000128,CRELUZ-D,CRELUZ - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,creluz - cooperativa de distribuicao de energia,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Creluz-D.
89435598000155,CRERAL,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,creral - cooperativa regional de eletrificacao rural do alto uruguai,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Creral.
09364804000144,Ceraçá,CERACA - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARACA,ceraca - cooperativa distribuidora de energia vale do araca,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceraçá.
83855973000130,DCELT,DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA LTDA,dcelt - distribuidora catarinense de energia eletrica ltda,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para DCELT.
83855973000130,DCELT,DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA S/A,dcelt distribuidora catarinense de energia eletrica s/a,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para DCELT.
95289500000100,DEMEI,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUI,departamento municipal de energia de ijui,RS,Sul,aneel_cadastro_agentes,"UF confirmada em fonte oficial ANEEL para Demei, em Ijuí/RS."
95289500000100,DEMEI,Departamento Municipal de Energia de Ijuí,departamento municipal de energia de ijui,RS,Sul,aneel_cadastro_agentes,"UF confirmada em fonte oficial ANEEL para Demei, em Ijuí/RS."
23664303000104,DMED,DME DISTRIBUICAO S.A. - DMED,dme distribuicao s.a. - dmed,MG,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para DME Distribuição/DMED.
23664303000104,DMED,DME DISTRIBUIÇÃO S.A. - DMED,dme distribuicao s.a. - dmed,MG,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para DME Distribuição/DMED.
04065033000170,EAC,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,energisa acre - distribuidora de energia s.a,AC,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Acre/Eletroacre.
08826596000195,EBO,ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A,energisa borborema - distribuidora de energia s.a,PB,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Borborema.
07297359000111,EDEVP,EMPRESA DE DISTRIBUIÇÃO DE ENERGIA VALE PARANAPANEMA S.A.,empresa de distribuicao de energia vale paranapanema s.a.,SP,Sudeste,curadoria_manual_validada,Agente histórico Empresa de Distribuição de Energia Vale Paranapanema; UF definida pela área estadual em São Paulo antes da reorganização societária.
28152650000171,EDP ES,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,edp espirito santo distribuicao de energia s.a.,ES,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para EDP Espírito Santo.
28152650000171,EDP ES,EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,edp espirito santo distribuicao de energia s.a.,ES,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para EDP Espírito Santo.
02302100000106,EDP SP,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,edp sao paulo distribuicao de energia s.a.,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para EDP São Paulo.
02302100000106,EDP SP,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,edp sao paulo distribuicao de energia s.a.,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para EDP São Paulo.
60942281000123,EEB,EMPRESA ELETRICA BRAGANTINA S A,empresa eletrica bragantina s a,SP,Sudeste,curadoria_manual_probabilistica_fase_5_5b,UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Nome Bragantina sugere associacao historica a Braganca Paulista/SP; escolhida SP. Observacao anterior: Agente histórico Empresa Elétrica Bragantina com possível área SP/MG; não foi atribuída UF única por risco de multiestado.
60876075000162,EEVP,Empresa de Eletricidade Vale Paranapanema S/A,empresa de eletricidade vale paranapanema s/a,SP,Sudeste,curadoria_manual_validada,Agente histórico Empresa de Eletricidade Vale Paranapanema; UF definida pela área estadual em São Paulo antes da reorganização societária.
86301124000122,EFLJC,EMPRESA FORCA E LUZ JOAO CESA LTDA,empresa forca e luz joao cesa ltda,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Empresa Força e Luz João Cesa.
86301124000122,EFLJC,EMPRESA FORÇA E LUZ JOÃO CESA LTDA,empresa forca e luz joao cesa ltda,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Empresa Força e Luz João Cesa.
86531175000140,EFLUL,EMPRESA FORCA E LUZ DE URUSSANGA LTDA,empresa forca e luz de urussanga ltda,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Empresa Força e Luz de Urussanga.
86531175000140,EFLUL,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA,empresa forca e luz de urussanga ltda,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Empresa Força e Luz de Urussanga.
02328280000197,ELEKTRO,ELEKTRO REDES S.A.,elektro redes s.a.,SP,Sudeste,curadoria_manual_probabilistica_fase_5_5b,"UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Elektro/Neoenergia Elektro possui atuacao multiestado, mas maior associacao operacional historica em SP; escolhida SP. Observacao anterior: Área de atuação multiestado identificada para Elektro/Neoenergia Elektro: municípios em SP e MS; não atribuir UF única."
04065033000170,ELETROACRE,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,energisa acre - distribuidora de energia s.a,AC,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Acre/Eletroacre.
88446034000155,ELETROCAR,CENTRAIS ELÉTRICAS DE CARAZINHO SA,centrais eletricas de carazinho sa,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Eletrocar.
61695227000193,ELETROPAULO,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,eletropaulo metropolitana eletricidade de sao paulo s.a.,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel São Paulo/Eletropaulo.
61695227000193,ELETROPAULO,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,eletropaulo metropolitana eletricidade de sao paulo s.a.,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel São Paulo/Eletropaulo.
27485069000109,ELFSM,EMPRESA LUZ E FORCA SANTA MARIA S A,empresa luz e forca santa maria s a,ES,Sudeste,site_institucional_distribuidora,"Área de concessão estadual confirmada no site institucional da Empresa Luz e Força Santa Maria, no Espírito Santo."
27485069000109,ELFSM,EMPRESA LUZ E FORÇA SANTA MARIA S/A,empresa luz e forca santa maria s/a,ES,Sudeste,site_institucional_distribuidora,"Área de concessão estadual confirmada no site institucional da Empresa Luz e Força Santa Maria, no Espírito Santo."
19527639000158,EMG,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,energisa minas rio - distribuidora de energia s.a.,MG,Sudeste,curadoria_manual_probabilistica_fase_5_5b,UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Nome Energisa Minas Rio indica MG/RJ; escolhida MG por predominancia do nome Minas e continuidade com CFLCL. Observacao anterior: Área de concessão multiestado identificada para Energisa Minas Rio/EMG: municípios em MG e RJ; não atribuir UF única sem regra metodológica adicional.
19527639000158,EMR,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,energisa minas rio - distribuidora de energia s.a.,MG,Sudeste,curadoria_manual_probabilistica_fase_5_5b,UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Nome Energisa Minas Rio indica MG/RJ; escolhida MG por predominancia do nome Minas e continuidade com EMG. Observacao anterior: Área de concessão multiestado identificada para Energisa Minas Rio/EMG: municípios em MG e RJ; não atribuir UF única sem regra metodológica adicional.
15413826000150,EMS,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,energisa mato grosso do sul - distribuidora de energia s.a.,MS,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Mato Grosso do Sul.
03467321000199,EMT,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,energisa mato grosso - distribuidora de energia s.a.,MT,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Mato Grosso.
03467321000199,EMT,Energisa Mato Grosso - Distribuidora de Energia S.A.,energisa mato grosso - distribuidora de energia s.a.,MT,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Mato Grosso.
07047251000170,ENEL CE,COMPANHIA ENERGETICA DO CEARA,companhia energetica do ceara,CE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel Ceará/Coelce.
07047251000170,ENEL CE,COMPANHIA ENERGÉTICA DO CEARÁ,companhia energetica do ceara,CE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel Ceará/Coelce.
33050071000158,ENEL RJ,AMPLA ENERGIA E SERVICOS S.A.,ampla energia e servicos s.a.,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel Rio/Ampla.
33050071000158,ENEL RJ,AMPLA ENERGIA E SERVIÇOS S.A.,ampla energia e servicos s.a.,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Enel Rio/Ampla.
13017462000163,ENERGIPE,Empresa Energética de Sergipe S/A.,empresa energetica de sergipe s/a.,SE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Sergipe/Energipe.
33249046000106,ENF,ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.,energisa nova friburgo - distribuidora de energia s.a.,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Nova Friburgo.
09095183000140,EPB,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,energisa paraiba - distribuidora de energia s.a,PB,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Paraíba/Saelpa.
09095183000140,EPB,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A,energisa paraiba - distribuidora de energia s.a,PB,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Paraíba/Saelpa.
12272084000100,EQUATORIAL AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,equatorial alagoas distribuidora de energia s.a.,AL,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Alagoas.
01543032000104,EQUATORIAL GO,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,equatorial goias distribuidora de energia s/a,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada para a área de distribuição de Goiás; CNPJ associado historicamente à CELG-D e atualmente à Equatorial Goiás.
06272793000184,EQUATORIAL MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A,equatorial maranhao distribuidora de energia s.a,MA,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Maranhão/Cemar.
04895728000180,EQUATORIAL PA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,equatorial para distribuidora de energia s.a.,PA,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Pará/Celpa.
06840748000189,EQUATORIAL PI,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,equatorial piaui distribuidora de energia s.a,PI,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Piauí/Cepisa.
05914650000166,ERO,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A,energisa rondonia - distribuidora de energia s.a,RO,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Rondônia/Ceron.
13017462000163,ESE,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,energisa sergipe - distribuidora de energia s.a,SE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Sergipe/Energipe.
07282377000120,ESS,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,energisa sul-sudeste - distribuidora de energia s.a.,SP,Sudeste,curadoria_manual_probabilistica_fase_5_5b,"UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Energisa Sul-Sudeste e multiestado; escolhida SP como UF pragmatica mais provavel para fechamento. Observacao anterior: Área de atuação multiestado identificada para Energisa Sul-Sudeste: SP, MG e PR; não atribuir UF única."
25086034000171,ETO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,energisa tocantins distribuidora de energia s.a.,TO,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Tocantins.
12272084000100,Equatorial AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,equatorial alagoas distribuidora de energia s.a.,AL,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Alagoas.
01543032000104,Equatorial GO,EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S/A,equatorial goias distribuidora de energia s/a,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada para a área de distribuição de Goiás; CNPJ associado historicamente à CELG-D e atualmente à Equatorial Goiás.
06272793000184,Equatorial MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A,equatorial maranhao distribuidora de energia s.a,MA,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Maranhão/Cemar.
04895728000180,Equatorial PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,equatorial para distribuidora de energia s.a.,PA,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Pará/Celpa.
06840748000189,Equatorial PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A,equatorial piaui distribuidora de energia s.a,PI,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Equatorial Piauí/Cepisa.
79850574000109,FORCEL,FORÇA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Forcel/Pacto Energia PR.
91982348000187,HIDROPAN,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,hidropan distribuicao de energia s.a.,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Hidropan.
04815734000180,JARI,"Jari Celulose, Papel e Embalagens S.A.","jari celulose, papel e embalagens s.a.",PA,Norte,curadoria_manual_probabilistica_fase_5_5b,"UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Jari possui indicios PA/AP; escolhida PA como UF pragmatica mais provavel para fechamento. Observacao anterior: Jari Celulose aparece no SAMP com atividades de distribuição, mas há indícios cadastrais em PA/AP e perfil industrial; validar área de distribuição antes de atribuir UF."
60444437000146,LIGHT,LIGHT SERVIÇOS DE ELETRICIDADE S A,light servicos de eletricidade s a,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Light Serviços de Eletricidade.
60444437000146,LIGHT SESA,LIGHT SERVICOS DE ELETRICIDADE S A,light servicos de eletricidade s a,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Light Serviços de Eletricidade.
02341467100020,MANAUS-ENERGIA,Manaus Energia S/A,manaus energia s/a,AM,Norte,curadoria_manual_validada,Agente histórico Manaus Energia; UF definida pela área de atuação em Manaus/Amazonas.
97578090000134,MUXENERGIA,MUXFELDT MARIN E CIA LTDA,muxfeldt marin e cia ltda,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Mux Energia.
07522669000192,Neoenergia Brasília,NEOENERGIA DISTRIBUICAO BRASILIA S.A.,neoenergia distribuicao brasilia s.a.,DF,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Neoenergia Distribuição Brasília.
10835932000108,Neoenergia PE,COMPANHIA ENERGETICA DE PERNAMBUCO,companhia energetica de pernambuco,PE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Neoenergia Pernambuco/Celpe.
89435598000155,Não Informado,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICACAO RURAL DO ALTO URUGUAI,creral - cooperativa regional de eletrificacao rural do alto uruguai,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Creral.
79850574000109,PACTO ENERGIA PR,FORCA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Forcel/Pacto Energia PR.
79850574000109,PACTO ENERGIA PR,FORÇA E LUZ CORONEL VIVIDA LTDA,forca e luz coronel vivida ltda,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Forcel/Pacto Energia PR.
02016439000138,RGE,RIO GRANDE ENERGIA SA,rio grande energia sa,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para RGE.
02016440000162,RGE SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,rge sul distribuidora de energia s.a.,RS,Sul,curadoria_manual_validada,Agente histórico RGE Sul/AES Sul; UF definida pela área estadual no Rio Grande do Sul.
09095183000140,SAELPA,Saelpa S/A de Eletrificação da Paraíba,saelpa s/a de eletrificacao da paraiba,PB,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Paraíba/Saelpa.
13255658000196,SULGIPE,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,companhia sul sergipana de eletricidade,SE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Sulgipe.
89889604000144,UHENPAL,NOVA PALMA ENERGIA LTDA,nova palma energia ltda,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Nova Palma Energia/UHENPAL.
